Index,Pop_size,Sel_size,Fitness
0,50,10,0.9189477324608151
1,50,10,0.9206258074599387
2,50,10,0.9183270347498975
3,50,10,0.9199031277430701
4,50,10,0.9201026684390512
5,50,10,0.9091766275918585
6,50,10,0.9084497293422138
7,50,10,0.9215967253045454
8,50,10,0.9186451448865322
9,50,10,0.9204610389418905
0,50,25,0.9013304842810097
1,50,25,0.9082546119621533
2,50,25,0.8998885652041
3,50,25,0.9026927836713456
4,50,25,0.9008759476135227
5,50,25,0.9044759533802159
6,50,25,0.8970188570872498
7,50,25,0.9084263431071139
8,50,25,0.9044453997350598
9,50,25,0.8991860771052771
0,50,40,0.8735418620980475
1,50,40,0.8652170586652921
2,50,40,0.8685154598167961
3,50,40,0.8788211306061025
4,50,40,0.8716971755325755
5,50,40,0.8704874395848767
6,50,40,0.8693478623424767
7,50,40,0.8644295446048815
8,50,40,0.8684978894229997
9,50,40,0.8749611731158067
0,50,50,0.8375952528318232
1,50,50,0.8289316152082121
2,50,50,0.8244318742179331
3,50,50,0.8362271785568128
4,50,50,0.8237434751994506
5,50,50,0.8314112114348287
6,50,50,0.8328782369252515
7,50,50,0.827350197853283
8,50,50,0.835072611188237
9,50,50,0.8291858739603978
0,100,10,0.9182398380869781
1,100,10,0.9223891951170524
2,100,10,0.9201017673932155
3,100,10,0.9230094832616812
4,100,10,0.9231098270024761
5,100,10,0.9251973044640431
6,100,10,0.9234524701598193
7,100,10,0.9225868927647332
8,100,10,0.9224915047760345
9,100,10,0.9220911127719479
0,100,25,0.9194517856926373
1,100,25,0.9190136726333377
2,100,25,0.9204721381883212
3,100,25,0.9171273741329072
4,100,25,0.9173750388678407
5,100,25,0.9187796874124551
6,100,25,0.9142223204453198
7,100,25,0.918424388656783
8,100,25,0.9177286174450996
9,100,25,0.9192266880602253
0,100,40,0.9110068564673303
1,100,40,0.9045823177454589
2,100,40,0.9044820149612927
3,100,40,0.9032701902255204
4,100,40,0.9058102793930163
5,100,40,0.9091820748235016
6,100,40,0.9042674022258782
7,100,40,0.9073298931949415
8,100,40,0.9058523828075211
9,100,40,0.9027227639236977
0,100,50,0.8993019024517948
1,100,50,0.8940981579674242
2,100,50,0.896044089319527
3,100,50,0.8942277037846218
4,100,50,0.8909172204275937
5,100,50,0.8902590474012363
6,100,50,0.8936421878179259
7,100,50,0.8964794992413194
8,100,50,0.8967540724814377
9,100,50,0.8917910301050882
0,200,10,0.92450558795862
1,200,10,0.9116638827080784
2,200,10,0.9223101897799122
3,200,10,0.9236812948454607
4,200,10,0.9212260268564085
5,200,10,0.9211933434665492
6,200,10,0.9262634464708328
7,200,10,0.9241395995228061
8,200,10,0.9205752260232523
9,200,10,0.9241879283449033
0,200,25,0.9197696910461273
1,200,25,0.9193248201430597
2,200,25,0.9222310206162563
3,200,25,0.917869999728048
4,200,25,0.9210524117065185
5,200,25,0.919856355272871
6,200,25,0.9179422062647915
7,200,25,0.9213991914833801
8,200,25,0.920135761395199
9,200,25,0.9191389589611302
0,200,40,0.9148184441788999
1,200,40,0.9151285677728997
2,200,40,0.9145592296746176
3,200,40,0.916785181498482
4,200,40,0.9126335718538181
5,200,40,0.9167428733008324
6,200,40,0.9145642263833428
7,200,40,0.9148549365352462
8,200,40,0.9135078730108595
9,200,40,0.9146848846120702
0,200,50,0.9043162225275219
1,200,50,0.9100404438519022
2,200,50,0.912074923435678
3,200,50,0.9031465831195125
4,200,50,0.9082666122544197
5,200,50,0.9075784589757108
6,200,50,0.9119767503962145
7,200,50,0.9092692305297921
8,200,50,0.9106126898708359
9,200,50,0.907396161020495
0,400,10,0.919951251782023
1,400,10,0.9196505891692979
2,400,10,0.9203937881572433
3,400,10,0.9220154658783772
4,400,10,0.9071932209243156
5,400,10,0.9191762294934253
6,400,10,0.9100229963279923
7,400,10,0.9195836660376822
8,400,10,0.9108494191858543
9,400,10,0.9194863530874253
0,400,25,0.916652522977488
1,400,25,0.9168374831135819
2,400,25,0.9178057797339392
3,400,25,0.915885200535123
4,400,25,0.9163215934160089
5,400,25,0.9136727643987943
6,400,25,0.9206131518616099
7,400,25,0.9187117403651169
8,400,25,0.9187340617278652
9,400,25,0.9165805621805179
0,400,40,0.9072032143417663
1,400,40,0.9077950785859414
2,400,40,0.9095729648896841
3,400,40,0.9041618569932134
4,400,40,0.9102131989125851
5,400,40,0.9079690213888624
6,400,40,0.9065019549418106
7,400,40,0.9107087741222258
8,400,40,0.9082965925067719
9,400,40,0.9099353491421553
0,400,50,0.90163835526042
1,400,50,0.9061411270412374
2,400,50,0.899587452068457
3,400,50,0.9014384459547794
4,400,50,0.9034305354276478
5,400,50,0.9075606018855121
6,400,50,0.9012846947699041
7,400,50,0.8973964772056702
8,400,50,0.9033094676326315
9,400,50,0.9009609326184819
