Pop_size,Sel_size,Fitness_average,Fitness_std
50,10,0.9176235636919815,0.004505496731736414
50,25,0.9026595023147049,0.0035715367344395727
50,40,0.8705516595789854,0.004169377298693708
50,50,0.830682752737623,0.004547362764530321
100,10,0.9222669395797982,0.0017988476733586702
100,25,0.9181821711534928,0.00163414085241326
100,40,0.9058506175768161,0.0024961088866786853
100,50,0.894351491099797,0.0027083788570935333
200,10,0.9219746525976824,0.003832120030537807
200,25,0.9198720416617381,0.0013393957494833633
200,40,0.9148279788821068,0.0011962024589366612
200,50,0.9084678075982083,0.002838501068658968
400,10,0.9168322980043637,0.005023956245557855
400,25,0.9171814860310045,0.0018002330655718303
400,40,0.9082358005825018,0.001887875792219539
400,50,0.9022748089864742,0.002830643493975121
